set,A,B,jarPicture,colorSequence,Target_Distractor
set0,Lime,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GB1.png,AAABAAAABA,Target
set1,Lime,Yellow,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GY2.png,AABAAABAAA,Distractor
set2,DarkBlue,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\BR1.png,AAABAAAABA,Target
set3,Lime,Yellow,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GY1.png,BAAAABAAAA,Distractor
set4,Yellow,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YR1.png,AAAABAABAA,Distractor
set5,Yellow,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YB4.png,AABAAABAAA,Distractor
set6,Yellow,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YR4.png,AAABAAAABA,Target
set7,Yellow,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YB5.png,BAAAABAAAA,Distractor
set8,Maroon,Lime,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\RG2.png,AAAABAABAA,Distractor
set9,Yellow,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YR5.png,AABAAABAAA,Distractor
set10,DarkBlue,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\BR2.png,AAABAAAABA,Target
set11,Yellow,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YR3.png,BAAAABAAAA,Distractor
set12,Lime,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GB2.png,AAAABAABAA,Distractor
set13,Maroon,Lime,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\RG5.png,AABAAABAAA,Distractor
set14,Yellow,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YR2.png,AAABAAAABA,Target
set15,Lime,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GB4.png,BAAAABAAAA,Distractor
set16,Lime,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GB5.png,AAAABAABAA,Distractor
set17,Maroon,Lime,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\RG4.png,AABAAABAAA,Distractor
set18,Lime,Yellow,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\GY3.png,AAABAAAABA,Target
set19,Yellow,DarkBlue,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\YB2.png,BAAAABAAAA,Distractor
set20,DarkBlue,Maroon,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\3-Beads\\stimuli\\BR3.png,AAAABAABAA,Distractor
